Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_V-2014_Sep_08_0850.csv,Time:,2014_Sep_08_0850,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\T1000_FC_ScheduleV.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=NA
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,1.00479796471,NA,NA,NA
NA,NA,2,4.51339931902,3.50860135432,NA,NA
0,-1,7,27.6952170603,23.1236502962,NA,0.1
0,-1,7,30.1160298319,2.36666496564,NA,0.1
0,-1,7,31.1342874144,0.958833697485,NA,0.1
0,-1,7,38.6133705523,7.42327661428,NA,0.1
0,-1,7,39.314423915,0.594797077938,NA,0.1
0,-1,7,39.8151906942,0.436181996018,NA,0.1
0,-1,8,62.9704629669,23.08309468,1,0.1
1,-1,7,98.8467696204,35.8169973791,NA,0.2
1,-1,7,102.235655928,3.31880648748,NA,0.2
1,-1,7,104.506270369,2.22061257367,NA,0.2
1,-1,8,107.344151681,2.77988777857,1,0.2
2,-1,7,108.279229053,0.882345092483,NA,0.3
2,-1,7,110.632995479,2.29806881142,NA,0.3
2,-1,7,111.985347805,1.29747637152,NA,0.3
2,-1,8,117.093718398,5.03158861981,1,0.3
3,-1,7,118.128695444,0.978583213408,NA,0.4
3,-1,7,126.776525012,8.60210193554,NA,0.4
3,-1,7,129.080322358,2.24778868549,NA,0.4
3,-1,7,132.352413052,3.2147317956,NA,0.4
3,-1,8,139.213849978,6.80524152471,1,0.4
4,-1,7,139.76474521,0.48242651741,NA,0.5
4,-1,7,142.702880575,2.86919366883,NA,0.5
4,-1,7,148.963286975,6.19590743235,NA,0.5
4,-1,8,151.600995174,2.57258685527,1,0.5
5,-1,7,152.485817224,0.833622758393,NA,0.6
5,-1,7,154.472476493,1.92904748616,NA,0.6
5,-1,7,155.140256859,0.613074047258,NA,0.6
5,-1,8,156.525848824,1.33520692203,1,0.6
6,-1,7,157.41066004,0.832879500114,NA,0.7
6,-1,8,160.332174018,2.86454794812,1,0.7
7,-1,7,161.600989757,1.22054586001,NA,0.8
7,-1,7,164.33887047,2.6776491371,NA,0.8
7,-1,8,168.779623205,4.37167447503,1,0.8
8,-1,7,169.964827091,1.1215465361,NA,0.9
8,-1,8,174.054986003,4.03656391718,1,0.9
9,-1,7,174.989882336,0.880834627431,NA,1.0
9,-1,7,177.794489226,2.74477588071,NA,1.0
9,-1,8,179.96489523,2.11379720597,1,1.0
10,-1,7,180.899672676,0.880594857619,NA,1.0
10,-1,7,183.337065495,2.37737820554,NA,1.0
10,-1,7,184.004876367,0.58665573399,NA,1.0
10,-1,8,185.240200723,1.1802328648,1,1.0
11,-1,7,186.09164771,0.799324538675,NA,1.0
11,-1,7,187.410425687,1.26371186099,NA,1.0
11,-1,7,188.011483868,0.547669883817,NA,1.0
11,-1,7,188.562405044,0.492737479857,NA,1.0
11,-1,7,194.956506133,6.34465174773,NA,1.0
11,-1,7,204.639167345,9.62683644239,NA,1.0
11,-1,7,219.079758998,14.3868757749,NA,1.0
11,-1,7,248.078029006,28.9194897604,NA,1.0
11,-1,7,251.31666766,3.17375365959,NA,1.0
11,-1,8,255.540311427,4.17323220999,1,1.0
12,-1,7,256.191359786,0.594942764612,NA,1.0
12,-1,7,256.992688585,0.754498109571,NA,1.0
12,-1,7,257.994473602,0.958670904743,NA,1.0
12,-1,7,259.112895717,1.04132424854,NA,1.0
12,-1,7,259.747191541,0.581555847428,NA,1.0
12,-1,7,260.415142398,0.620723877102,NA,1.0
12,-1,8,262.702192341,2.22144079197,1,1.0
13,-1,7,263.603701922,0.843143705977,NA,1.0
13,-1,7,264.288391914,0.634481995716,NA,1.0
13,-1,7,264.906041547,0.552059013629,NA,1.0
13,-1,7,265.674058575,0.662168438197,NA,1.0
13,-1,8,266.708921865,0.976366268122,1,1.0
14,-1,7,267.593694878,0.8346565346,NA,1.0
14,-1,7,268.244727556,0.59836141055,NA,1.0
14,-1,8,269.430044912,1.13343923888,1,1.0
15,-1,8,270.531912352,1.04850252136,1,1.0
16,-1,7,271.283120681,0.700639110873,NA,1.0
16,-1,7,271.817364874,0.457785238512,NA,1.0
16,-1,7,272.318181546,0.449544394272,NA,1.0
