10000,NULL,,
10000,Heart_event+respose,HEART,
5000,NULL,+,
10000,Heart_event+respose,HEART,
7500,NULL,+,
10000,Stomach_event+respose,STOMACH,
5000,NULL,+,
10000,Stomach_event,STOMACH,
15000,NULL,+,
10000,TargetDetection_event,TARGET,3
10000,NULL,+,
10000,Heart_event,HEART,
10000,TargetDetection_event+respose,TARGET,7
7500,NULL,+,
10000,Stomach_event+respose,STOMACH,
2500,NULL,+,
10000,Heart_event,HEART,
10000,NULL,+,
10000,Heart_event,HEART,
10000,NULL,+,
10000,TargetDetection_event+respose,TARGET,6
2500,NULL,+,
10000,Heart_event+respose,HEART,
10000,NULL,+,
10000,Stomach_event+respose,STOMACH,
10000,NULL,+,
10000,TargetDetection_event,TARGET,4
10000,TargetDetection_event,TARGET,2
2500,NULL,+,
10000,Stomach_event,STOMACH,
7500,NULL,+,
10000,Stomach_event,STOMACH,
7500,NULL,+,
10000,TargetDetection_event+respose,TARGET,5
2500,NULL,+,
10000,NULL,,
